Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/page/17,page,Home - Phuket Property Service - Page 17,,/properties,200,
https://psmphuket.com/page/54,page,Home - Phuket Property Service - Page 54,,/properties,200,
https://psmphuket.com/properties-search/page/2,page,Properties Search - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/page/13,page,Home - Phuket Property Service - Page 13,,/properties,200,
https://psmphuket.com/page/55,page,Home - Phuket Property Service - Page 55,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/9,page,Gallery properties - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/properties-search/page/7,page,Properties Search - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/properties-search/page/8,page,Properties Search - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/properties-search/page/10,page,Properties Search - Phuket Property Service - Page 10,,/properties,200,
https://psmphuket.com/page/19,page,Home - Phuket Property Service - Page 19,,/properties,200,
https://psmphuket.com/gallery-2-columns/page/11,page,Gallery properties - Phuket Property Service - Page 11,,/properties,200,
https://psmphuket.com/page/5,page,Home - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/properties-search/page/11,page,Properties Search - Phuket Property Service - Page 11,,/properties,200,
